ID,TITLE,OVERAL RANK,MEAN SCORE
27,Trinity Blood,2978,7.28
28,Yakitate!! Japan,827,7.91
251,Kyou kara Maou!,1611,7.61
544,Venus Senki,5615,6.77
617,Juubee Ninpuuchou,1604,7.61
678,Shadow Skill: Eigi,4155,7.07
795,Oniisama e...,946,7.86
1409,IGPX: Immortal Grand Prix,7249,6.5
1410,IGPX: Immortal Grand Prix (2005) 2nd Season,3257,7.24
1457,Key the Metal Idol,5191,6.85
1470,City Hunter,833,7.91
1535,Death Note,94,8.62
1550,Attack No.1,5695,6.76
1589,Bartender,2782,7.32
1735,Naruto: Shippuuden,319,8.28
1860,Tokyo Majin Gakuen Kenpuuchou: Tou,4361,7.03
2931,Mokke,4346,7.03
3270,IGPX: Immortal Grand Prix (2005),4233,7.06
5220,Shangri-La,4265,7.05
9062,Angel Beats! Specials,1816,7.55
12119,Natsu-iro Kiseki,4407,7.02
13163,Furusato Saisei: Nippon no Mukashibanashi,4846,6.92
13601,Psycho-Pass,269,8.33
14227,Tonari no Kaibutsu-kun,2223,7.45
17729,Grisaia no Kajitsu,2180,7.46
19775,Sidonia no Kishi,1528,7.63
21879,Sword Art Online: Sword Art Offline - Extra Edition,6672,6.59
22057,"Inari, Konkon, Koi Iroha. Inari, Konkon, Semishigure.",5166,6.86
23311,Garo: Honoo no Kokuin,2768,7.33
23579,12-sai.,8806,6.24
23605,Ninja Slayer From Animation,6725,6.59
24701,Mushishi Zoku Shou 2nd Season,54,8.72
24821,Isshuukan Friends. Specials,5414,6.81
25867,Rolling☆Girls,6751,6.58
26165,Yuri Kuma Arashi,4369,7.03
27899,Tokyo Ghoul √A,4360,7.03
27945,Gugure! Kokkuri-san Specials,3346,7.22
28205,Fastening Days,8069,6.37
31234,Himouto! Umaru-chanS,4381,7.03
33089,Kemono Friends,1971,7.51
34572,Black Clover,490,8.14
34604,UQ Holder! Mahou Sensei Negima! 2 OVA,3653,7.17
34855,Gabriel DropOut Specials,1599,7.61
36029,Hakyuu Houshin Engi,12830,5.39
38909,Infinite Dendrogram,9060,6.2
41409,Wushen Zhuzai,1928,7.53
51289,Zhe Tian,1412,7.67
51335,Shen Yin Wangzuo,505,8.13
55655,Cang Yuan Tu,463,8.17
55809,Xian Ni,214,8.39
339,Serial Experiments Lain,549,8.1
6746,Durarara!!,555,8.09
20787,Black Bullet,4165,7.07
30503,Noragami Aragoto,486,8.14
53924,Jibaku Shounen Hanako-kun 2,840,7.91
355,Shakugan no Shana,2267,7.44
918,Gintama,17,8.93
35120,Devilman: Crybaby,1215,7.74
38656,Darwin's Game,3417,7.21
47794,MILGЯAM,,8.21
173,Tactics,3563,7.18
3407,Blassreiter,5080,6.87
4081,Natsume Yuujinchou,299,8.3
10620,Mirai Nikki (TV),2529,7.38
24439,Kekkai Sensen,1674,7.59
877,Nana,112,8.57
24765,Gakkougurashi!,1600,7.61
1852,Hidamari Sketch,2182,7.46
1887,Lucky☆Star,1188,7.75
4181,Clannad: After Story,16,8.93
1869,Nana Recaps,4619,6.97
1126,Figure 17: Tsubasa & Hikaru,3517,7.19
1942,Rocket Girls,4957,6.9
18689,Diamond no Ace,535,8.11
19671,Free!: FrFr - Short Movie,1556,7.62
22265,Free! Eternal Summer,1597,7.61
32542,Sakamoto desu ga?,1866,7.54
39533,Given,309,8.29
54617,Kyuujitsu no Warumono-san,3192,7.25
1313,Digimon Adventure 02,3251,7.24
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,109,8.58
50172,Mob Psycho 100 III,60,8.71
534,Slayers,1276,7.72
19365,Samurai Flamenco,5045,6.88
21835,Majin Bone,6471,6.63
32483,Cheer Danshi!!,6271,6.66
32608,Endride,12196,5.58
34086,Tales of Zestiria the Cross 2nd Season,2964,7.29
37584,Bakumatsu,11540,5.73
37962,IDOLiSH7 Second Beat!,498,8.13
38671,Enen no Shouboutai,1289,7.72
42249,Tokyo Revengers,980,7.84
46352,Blue Period,1099,7.79
48567,Visual Prison,5946,6.72
49154,High Card,3689,7.16
481,Yu☆Gi☆Oh! Duel Monsters,2044,7.5
19257,Megane-bu!,8826,6.24
20583,Haikyuu!!,185,8.43
27727,Binan Koukou Chikyuu Bouei-bu LOVE!,5381,6.82
33113,Scared Rider Xechs,13161,5.26
37426,Sarazanmai,2156,7.46
45665,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,10662,5.91
48580,Vanitas no Karte,859,7.9
49918,Boku no Hero Academia 6th Season,388,8.22
32696,Fukigen na Mononokean,2359,7.42
32697,Ozmafia!!,12639,5.45
33222,Fudanshi Koukou Seikatsu,7160,6.51
33255,Saiki Kusuo no Ψ-nan,201,8.41
49515,Digimon Ghost Game,5879,6.73
5114,Fullmetal Alchemist: Brotherhood,2,9.1
9539,Cardfight!! Vanguard,4374,7.03
13261,Inazuma Eleven Go: Chrono Stone,2883,7.3
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,523,8.11
21439,Uta no☆Prince-sama♪ Maji Love Revolutions,4502,7
22297,Fate/stay night: Unlimited Blade Works,434,8.18
23199,Durarara!!x2 Shou,731,7.97
24405,World Trigger,1698,7.58
24415,Kuroko no Basket 3rd Season,304,8.29
25517,Magic Kaito 1412,942,7.86
28171,Shokugeki no Souma,511,8.12
28927,Owari no Seraph: Nagoya Kessen-hen,1622,7.61
30714,Owaranai Seraph,2723,7.34
32093,Tanaka-kun wa Itsumo Kedaruge,1086,7.8
32212,Ensemble Stars!,4781,6.93
33966,Yume Oukoku to Nemureru 100-nin no Oujisama,10772,5.89
34368,Vatican Kiseki Chousakan,7886,6.4
34451,Kekkai Sensen & Beyond,1145,7.77
34474,Tsukipro The Animation,6227,6.67
34543,Dive!!,9753,6.08
34771,Dynamic Chord,13980,4.64
34863,Zoku Touken Ranbu: Hanamaru,2985,7.28
34915,The iDOLM@STER SideM,3912,7.12
35067,Osomatsu-san 2nd Season,1568,7.62
37496,Double Decker! Doug & Kirill,5464,6.8
37571,Senjuushi,13709,4.91
39527,Try Knights,13835,4.8
39725,I★Chu: Halfway Through the Idol,6886,6.56
40060,BNA,2700,7.34
40075,Koi to Producer: EVOLxLOVE,9159,6.18
40267,Wave!! Surfing Yappe!!,10130,6.01
40506,Shadowverse,11437,5.75
40906,Dragon Quest: Dai no Daibouken (2020),1288,7.72
41074,Digimon Adventure:,7238,6.5
41120,Fugou Keiji: Balance:Unlimited,1998,7.51
41762,Tenchi Souzou Design-bu,3665,7.16
41834,King's Raid: Ishi wo Tsugumono-tachi,9931,6.05
42205,Shaman King (2021),4959,6.9
42822,Kai Byoui Ramune,3711,7.15
42825,Project Scard: Praeter no Kizu,10582,5.93
43591,Hetalia World★Stars,5089,6.87
44387,Sankaku Mado no Sotogawa wa Yoru,5756,6.75
46118,Wave!! Surfing Yappe!! (TV),10919,5.86
48406,Re-Main,3536,7.19
50287,Kyuuketsuki Sugu Shinu 2,2203,7.45
53132,UniteUp!,4273,7.05
57592,Dr. Stone: Science Future,354,8.24
58516,Ao no Exorcist: Yuki no Hate-hen,2114,7.47
962,Aria the Natural,473,8.16
2129,True Tears,3138,7.26
2926,Myself; Yourself,4034,7.1
2966,Ookami to Koushinryou,399,8.21
3297,Aria the Origination,163,8.47
3299,H2O: Footprints in the Sand,4647,6.97
4896,Umineko no Naku Koro ni,4416,7.02
6547,Angel Beats!,624,8.05
8074,Highschool of the Dead,4232,7.06
8676,Amagami SS,3071,7.27
8915,Dantalian no Shoka,3333,7.22
11757,Sword Art Online,3319,7.22
13759,Sakura-sou no Pet na Kanojo,622,8.05
14075,Zetsuen no Tempest,884,7.89
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,5019,6.89
14829,Fate/kaleid liner Prisma☆Illya,4447,7.01
16782,Kotonoha no Niwa,938,7.86
17549,Non Non Biyori,788,7.94
17895,Golden Time,1220,7.74
19815,No Game No Life,637,8.04
20031,D-Frag!,2062,7.49
20785,Mahouka Koukou no Rettousei,2574,7.37
22535,Kiseijuu: Sei no Kakuritsu,272,8.32
22729,Aldnoah.Zero,2502,7.38
23623,Non Non Biyori Repeat,459,8.17
25777,Shingeki no Kyojin Season 2,134,8.53
25835,Shirobako,328,8.27
27775,Plastic Memories,850,7.91
29095,Grisaia no Rakuen,1259,7.73
30484,Steins;Gate 0,131,8.54
31240,Re:Zero kara Hajimeru Isekai Seikatsu,366,8.24
32182,Mob Psycho 100,153,8.49
32949,Kuzu no Honkai,4123,7.08
33352,Violet Evergarden,67,8.69
34620,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,6714,6.59
35062,Mahoutsukai no Yome,617,8.05
35180,3-gatsu no Lion 2nd Season,21,8.9
35247,Owarimonogatari 2nd Season,26,8.86
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,986,7.84
35838,Shoujo Shuumatsu Ryokou,375,8.23
35972,Fairy Tail: Final Series,1595,7.61
36950,Yuragi-sou no Yuuna-san OVA,4152,7.08
38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,12318,5.54
48239,Leadale no Daichi nite,4717,6.95
48415,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",8497,6.29
48483,Mieruko-chan,2528,7.38
48760,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",3790,7.14
48779,Deaimon,1823,7.55
48916,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,1438,7.66
49470,Mamahaha no Tsurego ga Motokano datta,5832,6.73
50582,Nanatsu no Maken ga Shihai suru,6904,6.56
50685,Kaginado Season 2,2645,7.35
51417,Engage Kiss,5548,6.79
51632,Isekai wa Smartphone to Tomo ni. 2,7861,6.4
52196,Date A Live V,1372,7.69
52608,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,6147,6.68
54947,Spy Kyoushitsu 2nd Season,3738,7.15
59142,Unnamed Memory Act.2,3914,7.12
477,Aria the Animation,1380,7.68
17827,Daitoshokan no Hitsujikai,5320,6.83
